,Date,Z_Score
363,1955-06-14,1.601791524727194
364,1955-06-15,1.3692419309672237
365,1955-06-16,1.424684947850752
366,1955-06-17,2.1631712339767772
367,1955-06-20,2.5549556223935572
368,1955-06-21,3.0600375167669136
369,1955-06-22,3.0585235150051693
370,1955-06-23,2.9458991693290417
371,1955-06-24,3.111567449413078
372,1955-06-27,2.884048580174371
373,1955-06-28,2.7729044622483734
374,1955-06-29,2.3792903949503397
375,1955-06-30,2.0991902087372156
376,1955-07-01,2.2723460784316174
377,1955-07-05,2.160682293363903
378,1955-07-06,1.991452616693272
379,1955-07-07,1.7085549064183485
380,1955-07-08,1.6527244971693789
381,1955-07-11,1.6536886321607744
382,1955-07-12,1.7684444546631168
383,1955-07-13,1.823955721464892
384,1955-07-14,2.0524013872007676
385,1955-07-15,2.1652235705876555
