,Date,3m
151,2023-06-29,0.09560000000000013
152,2023-06-26,0.07690000000000019
153,2023-06-23,0.06270000000000042
154,2023-06-22,0.06430000000000025
155,2023-06-19,-0.002100000000000435
156,2023-06-16,0.07479999999999976
157,2023-06-15,0.07690000000000019
158,2023-06-12,0.06420000000000048
159,2023-06-09,0.05350000000000055
160,2023-06-08,0.026399999999999757
161,2023-06-05,0.08119999999999994
162,2023-06-02,0.24480000000000057
163,2023-06-01,0.33199999999999985
164,2023-05-26,0.12110000000000021
165,2023-05-25,0.25849999999999973
166,2023-05-24,0.35960000000000036
167,2023-05-19,0.12710000000000043
168,2023-05-18,0.15449999999999964
169,2023-05-17,0.2270000000000003
170,2023-05-12,0.20759999999999934
171,2023-05-11,0.2351000000000001
172,2023-05-10,0.23470000000000013
